item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,ipa_en,ipa_l1,freq,morpheme_count,char_length,syllables,edit_distance,phon_edit_distance
39,de,stunning,adjective,s_______,atemberaubend,Sie kam in einem atemberaubenden Kleid zur Preisverleihung.,-1.399462542,stʌnɪŋ,ɑtɛmbeːraʊbənt,4.27,2,8,2,11,13
40,de,tea,noun,t__,Tee,Wie wäre es mit einer Tasse Tee?,2.037427671,tiː,teː,4.73,1,3,1,2,1
41,de,housekeeping,noun,h___________,Haushalt,Mein Mann und ich teilen uns den Haushalt.,-2.656339942,haʊskiːpɪŋ,haʊshalt,3.24,2,12,3,10,6
42,de,mayor,noun,m____,Bürgermeister,Die Stadt hat eine neue Bürgermeisterin.,-0.937601484,meɪɚ,bʏɾɡɜmaɪstɜ,4.62,1,5,2,11,9
43,de,countryside,noun,c__________,Land,"Auf dem Land gibt es viele Bauern, die Gemüse anbauen.",0.469227471,kʌntɹɪsaɪd,lant,3.92,1,11,2,9,8
44,de,lighter,noun,l______,Feuerzeug,Susanne zündet sich die Zigarette mit einem Feuerzeug an.,0.790146502,laɪɾɚ,fɔøɜtsɔøk,4.09,2,7,2,8,9
45,de,drama,noun,d____,Drama,Gestern habe ich ein packendes Fernsehdrama gesehen.,2.487187575,dɹɑːmə,drɑmɑː,4.67,1,5,1,1,4
46,de,push,verb,p___,schieben,Voller Vorfreude schiebt er den Einkaufswagen durch den Markt.,0.899060632,pʊʃ,ʃiːbən,4.82,1,4,1,8,6
47,de,unglamorous,adjective,u__________,glanzlos,Das Mittagessen war eine glanzlose Angelegenheit.,-3.561702273,ʌŋɡlæmɚɹəs,ɡlantsloːs,1.89,2,11,4,6,9
48,de,subtle,adjective,s_____,fein,Die Bedeutungsunterschiede zwischen diesen zwei Wörtern ist wirklich sehr fein.,-2.892769889,sʌɾəl,faɪn,4.08,1,6,1,6,5
49,de,stem,noun,s___,Stamm,Diese Rosen haben einen sehr dicken Stamm.,-1.565453345,stɛm,ʃtam,4.3,1,4,1,3,2
50,de,claim,verb,c____,etw behaupten,"Der Reporter behauptet, dass die Aufstände bereits vorbei wären.",-0.073637248,kleɪm,ɛtf bəhaʊptən,4.95,1,5,1,12,13
51,de,inviting,adjective,i_______,"einladend, ansprechend",Der ansprechende Pool lädt zum Verweilen ein.,-0.422869382,ɪnvaɪɾɪŋ,aɪnlɑːdənt anʃprɛçənt,3.86,3,8,3,19,18
52,de,aboard,preposition,a_____,an Bord,Der Zug fährt gleich ab. Kommen Sie an Bord!,0.225140572,ɐbɔːɹd,an bɔɾt,4.14,1,6,1,4,6
53,de,carefully,adverb,c________,vorsichtig,Sie ging vorsichtig die Straße entlang.,0.634880408,kɛɹfəli,foːɾzɪçtɪç,4.46,2,9,2,9,10
54,de,separate,verb,s_______,trennen,Der Lehrer trennt die beiden streitenden Schülerinnen und versucht sie zu beruhigen.,-1.150721647,sɛpɹət,trɛnən,4.83,1,8,3,8,5
55,de,hangover,noun,h_______,Kater,Er hat gestern Nacht zu viel getrunken und hat deshalb heute einen Kater.,-0.128627389,hæŋɡoʊvɚ,kɑːtɜ,3.5,2,8,1,5,8
56,de,delegate,noun,d_______,Delegierter,Die Delegierten erschienen pünktlich zur Versammlung.,-0.341267955,dɛlɪɡeɪt,deːleːɡiːɾtɜ,3.7,1,8,3,5,8
57,de,lock,noun,l___,Schloss,Ich schütze mein Fahrrad mit einem Schloss vor Diebstahl.,1.049578673,lɑːk,ʃlɔs,4.51,1,4,1,5,4
58,de,every,misc,e____,jeder,Jede Stunde klingelt die Glocke.,1.498761596,ɛvɹi,jeːdɜ,5.79,1,5,1,3,5
59,de,terrorist,adjective,t________,"terroristisch, Terror-",Es war der schlimmste Terroranschlag seit langem.,-1.436285385,tɛɹɚɹɪst,tɛroːrɪstɪʃ tɛroːɾ,4.35,1,9,3,13,13
60,de,wonder,verb,w_____,sich (etwas) fragen,"Ich frage mich, warum sie gekündigt hat.",0.990040296,wʌndɚ,zɪç ɛtvɑːs frɑːɡən,4.93,2,6,2,17,18
61,de,hypersensitive,adjective,h_____________,überempfindlich,Die überempfindliche Reaktion der Frau ist nicht nachzuvollziehen.,-1.30462693,haɪpɚsɛnsᵻtɪv,yːbɜɛmpfɪntlɪç,2.46,1,14,5,12,12
62,de,drop,verb,d___,etw fallen lassen,Die Jugendlichen lassen Steine von der Brücke fallen.,0.281646046,dɹɑːp,ɛtf falən lasən,4.99,1,4,1,17,15
63,de,note,verb,n___,etw bemerken,"Ich bemerkte, dass ich meinen Schal verloren hatte.",0.469391675,noʊt,ɛtf bəmɛɾkən,5.04,1,4,1,11,12
64,de,sky,noun,s__,Himmel,"Die Luft ist dermaßen trocken, dass keine einzige Wolke am Himmel zu sehen ist.",2.392998918,skaɪ,hɪməl,4.72,1,3,1,6,5
65,de,sigh,noun,s___,Seufzer,"Als die Wahlergebnisse bekannt wurden, ging ein Seufzer der Erleichterung durch die Menge.",-0.172713646,saɪ,zɔøftsɜ,3.95,1,4,1,7,7
66,de,scared,adjective,s_____,"bang, ängstlich",Ich habe ihn immer als recht ängstlichen Jungen in Erinnerung.,-1.032633751,skɛɹd,baŋ ɛŋstlɪç,4.6,2,6,1,14,10
67,de,globally,adverb,g_______,global,"Global gesehen, hat sich die Wirtschaft stark verändert.",0.73008275,ɡloʊbəli,ɡloːbɑːl,3.82,2,8,2,2,4
68,de,select,adjective,s_____,ausgewählt,Einige ausgewählte Studierende können an der Exkursion teilnehmen.,-0.214675885,sᵻlɛkt,aʊsɡəvɛːlt,4.45,1,6,2,7,7
69,de,roman,adjective,r____,römisch,Die römischen Soldaten haben in Großbritannien viele Wälder gerodet.,0.807918468,ɹoʊmən,røːmɪʃ,4.5,1,5,2,5,5
70,de,racial,adjective,r_____,Rassen-,Als Verein wollen wir uns ganz besonders gegen Rassendiskriminierung einsetzen.,-1.971714609,ɹeɪʃəl,rasən,4.3,1,6,2,6,5
71,de,vibrator,noun,v_______,Vibrator,Er hatte noch nie einen Vibrator gesehen.,1.609188498,vaɪbɹeɪɾɚ,vɪbrɑtoːɾ,3.11,1,8,3,1,7
72,de,clever,adjective,c_____,"klug, gescheit, schlau",Der Junge begreift neue Dinge sehr schnell. Er ist extrem klug. ,2.347184888,klɛvɚ,kluːk ɡəʃaɪt ʃlaʊ,4.21,2,6,2,19,15
73,de,outlook,noun,o______,Aussicht,Die Aussicht für die Zukunft ist positiver als angenommen.,-1.618262594,aʊtlʊk,aʊszɪçt,4.07,1,7,2,7,5
74,de,study,verb,s____,studieren,Er studierte an drei unterschiedlichen Universitäten.,1.328578962,stʌdi,ʃtuːdiːrən,5.26,1,5,1,5,7
75,de,continuing,adjective,c_________,"ständig, anhaltend (nicht: constant)",Die anhaltende Waffenruhe wirkt sich positiv auf die Bewohner der betroffenen Gegend aus.,-3.329180236,kəntɪnjuːɪŋ,ʃtɛndɪç anhaltənt nɪçt kɔnstant,4.48,2,10,3,31,26
76,de,contract,verb,c_______,"schrumpfen, zusammenziehen",Muskeln ziehen sich bei Kälte zusammen.,-0.91317109,kɑːntɹækt,ʃrʊmpfən tsuːzaməntsiːən,4.94,1,8,2,23,21
77,de,suggestive,adjective,s_________,zweideutig,"Sie machte eine zweideutige Bemerkung und machte eine sehr eindeutige Geste, die alle erröten ließ.",-3.309763679,sədʒɛstɪv,tsvaɪdɔøtɪç,3.21,1,10,3,8,8
78,de,kitchen,noun,k______,Küche,Die Mutter kocht in der Küche.,2.945735177,kɪtʃən,kʏçə,4.65,1,7,2,4,4
79,de,historical,adjective,h_________,historisch,Das Ereignis muss auch in seinem historischen Kontext gesehen werden.,1.348278335,hɪstɔːɹɪkəl,hɪstoːrɪʃ,4.69,1,10,4,3,5
80,de,reverse,verb,r______,"rückgängig machen, umkehren",Nur dieses Medikament kann die Symptome langfristig rückgängig machen.,-1.214519941,ɹᵻvɜːs,rʏkɡɛŋɪç maxən ʊmkeːrən,4.37,2,7,2,23,22
81,de,manufacture,verb,m__________,etw herstellen,Die Fabrik stellt Schuhe her.,-0.545605345,mænjuːfæktʃɚ,ɛtf hɛɾʃtɛlən,3.98,1,11,4,12,13
82,de,unfashionable,adjective,u____________,unzeitgemäß,"Sie bewunderte seinen Stil, auch wenn er etwas unzeitgemäß war.",-3.338124843,ʌnfæʃənəbəl,ʊntsaɪtɡəmɛːs,2.44,3,13,4,10,11
83,de,curtain,noun,c______,Vorhang,"Schließe den Vorhang und schalte das Licht aus, dann können wir mit dem Film beginnen.",0.745244301,kɜːtən,foːɾhaŋ,3.86,1,7,2,5,6
84,de,converter,noun,c________,"Umwandler, Umrechner","Ich benutze einen Umrechner im Internet, um herauszufinden wie viel 50 Euro in britischen Pfund sind.",-1.8071745,kənvɜːɾɚ,ʊmvandlɜ ʊmrɛçnɜ,3.41,2,9,3,15,14
85,de,sticky,adjective,s_____,klebrig,Die Arbeitsplatte in der Küche ist ganz klebrig und muss geputzt werden.,0.019868085,stɪki,klɛbrɪç,3.8,1,6,1,7,7
86,de,concentrated,adjective,c___________,konzentriert,Man braucht nur wenig von dem konzentrierten Waschmittel.,0.907872582,kɑːnsəntɹeɪɾᵻd,kɔntsɛntriːɾt,3.96,2,12,3,6,9
87,de,cone,noun,c___,Kegel,Wir zeichneten einen Kegel laut der Anleitung des Geometrielehrers.,-1.606850613,koʊn,keːɡəl,3.83,1,4,1,4,5
88,de,straight,adverb,s_______,direkt,"Sie soll bitte direkt nach Hause gehen, wenn sie diese Nachricht erhält.",-0.080794948,stɹeɪt,diːrɛkt,5.04,1,8,1,6,6
89,de,broadcasting,noun,b___________,"Rundfunk, Fernsehen","Der Rundfunksender spielt vor allem klassische Musik und kaum Werbung, darum mag ich ihn so. ",-0.959177517,bɹɔːdkæstɪŋ,rʊntfʊŋk fɛɾnzeːən,4.02,2,12,3,18,17
90,de,travel,verb,t_____,reisen,"Er liebt es, mit dem Zug zu reisen.",2.191565648,tɹævəl,raɪzən,5.0,1,6,1,5,5
91,de,exhibition,noun,e_________,Ausstellung,Wir besuchten gemeinsam die Ausstellung des Künstlers.,-0.260603203,ɛksɪbɪʃən,aʊsʃtɛlʊŋ,4.37,2,10,4,10,8
92,de,injection,noun,i________,Spritze,Sie braucht eine tägliche Spritze Insulin.,0.366525629,ɪndʒɛkʃən,ʃprɪtsə,3.99,3,9,3,8,8
93,de,daddy,noun,d____,"Papa, Vati (nicht: father)",Ich nenne meinen Vater PapI.,2.960306817,dædi,pɑpɑː fɑtiː nɪçt fatɜ,4.36,1,5,1,25,20
94,de,adult,noun,a____,Erwachsener,Tickets für Erwachsene kosten 12 Euro.,2.608008065,ɐdʌlt,ɛɾvaxzənɜ,4.8,1,5,1,10,9
95,de,turbulence,noun,t_________,Unruhe,Es war eine Zeit der politischen Unruhe in der Geschichte des Landes.,-2.935482449,tɜːbjʊləns,ʊnruːə,3.55,1,10,3,7,9
96,de,authenticity,noun,a___________,Echtheit,Ich zweifle die Echtheit dieses Dokuments an.,-1.465491744,ɔːθəntɪsᵻɾi,ɛçtaɪt,3.6,1,12,4,8,10
97,de,ten,number,t__,zehn,Sie hat zehn Knödel gegessen.,2.744341337,tɛn,tseːn,5.05,1,3,1,2,3
98,de,barrier,noun,b______,"Absperrung, Schranke",Die Schranke des Bahnübergangs ist geschlossen.,-0.407523044,bæɹiʲɚ,apʃpɛrʊŋ ʃraŋkə,4.15,2,7,3,16,15
99,de,comment,noun,c______,"Kommentar, Bemerkung",Bitte hör jetzt auf mit deinen sarkastischen Kommentaren. ,0.390577733,kɑːmɛnt,kɔmɛntɑːɾ bəmɛɾkʊŋ,4.88,2,7,2,14,13
100,de,english,adjective,e______,englisch,Ich lese ein englisches Buch.,4.252493959,ɪŋɡlɪʃ,ɛŋlɪʃ,5.19,1,7,2,1,2
101,de,elite,noun,e____,Elite,Meine Kinder machten ihren Abschluss an einer Eliteuniversität.,3.941696937,ɪliːt,eːliːtə,4.4,1,5,1,1,3
102,de,snap,verb,s___,reißen,In genau diesem Moment riss das Seil und die Fracht fiel ins Wasser.,-2.986326142,snæp,raɪsən,4.21,1,4,1,6,6
103,de,life,noun,l___,Leben,Jedes Leben ist kostbar.,1.246002231,laɪf,leːbən,5.89,1,4,1,4,5
104,de,sure,adjective,s___,sicher,"Weißt du, wo Maria ist? – Nein, ich bin mir nicht sicher. ",1.311924746,ʃʊɹ,zɪçɜ,5.67,1,4,1,4,4
105,de,promise,verb,p______,versprechen,"Du musst mir versprechen, dass du jeden Tag anrufst.",1.483731544,pɹɑːmɪs,fɛɾʃprɛçən,4.71,1,7,2,9,10
106,de,fight,verb,f____,kämpfen,Mein Großvater kämpfte im Zweiten Weltkrieg.,0.907172443,faɪt,kɛmpfən,5.23,1,5,1,7,7
107,de,doubt,noun,d____,"Zweifel, Unsicherheit",Ich bin voller Zweifel.,0.486817888,daʊt,tsvaɪfəl ʊnzɪçɜhaɪt,4.9,1,5,1,20,16
108,de,vivid,adjective,v____,anschaulich,Wir hörten einen anschaulichen Bericht über die Ereignisse.,-2.207585202,vɪvɪd,anʃaʊlɪç,3.75,1,5,1,10,7
109,de,spectacular,adjective,s__________,atemberaubend,Die Aussicht vom Gipfel aus war wirklich atemberaubend.,-3.648614079,spɛktækjʊlɚ,ɑtɛmbeːraʊbənt,4.06,1,11,4,11,12
110,de,overlook,verb,o_______,"jdn/etw übersehen, nicht bemerken",Ich habe das Kind beim Zebrastreifen fast übersehen.,-1.240045421,oʊvɚlʊk,jɔtdeːɛn ɛtf yːbɜzeːən nɪçt bəmɛɾkən,3.53,1,8,2,30,35
111,de,graduate,verb,g_______,einen Abschluss machen,Sie hat an der Universität in Wien ihren Abschluss gemacht.,0.34612255,ɡɹædʒuːət,aɪnən apʃlʊs maxən,4.5,1,8,2,19,17
112,de,strain,verb,s_____,belasten,Der lange Abstieg ins Tal belastet die Kniegelenke.,-2.930150002,stɹeɪn,bəlastən,4.15,1,6,1,6,7
113,de,associated,adjective,a_________,"verbunden, assoziiert, in Verbindung gebracht",Die Gesellschaft und die mit ihr verbundenen Unternehmen werden überprüft.,-0.121909851,ɐsoʊsɪʲeɪɾᵻd,fɛɾbʊndən asoːtsiːiːɾt ɪn fɛɾbɪndʊŋ ɡəbraxt,4.89,2,10,4,37,37
114,de,weave,verb,w____,weben,"Er brauchte Monate, um diesen Teppich zu weben.",-1.207930443,wiːv,veːbən,3.53,1,5,1,3,5
115,de,collection,noun,c_________,Sammlung,Anna hat eine riesige Sammlung von antiken Büchern zu Hause.,0.890344881,kəlɛkʃən,zamlʊŋ,4.96,2,10,3,10,8
116,de,shotgun,noun,s______,Schrotflinte,Der Täter besaß eine Schrotflinte und benutzte ein Motorrad als Fluchtfahrzeug.,-1.240926653,ʃɑːtɡʌn,ʃrɔtflɪntə,3.81,1,7,2,8,7
117,de,assess,verb,a_____,"etw einschätzen, beurteilen","Das Team versuchte einzuschätzen, ob er für den Job geeignet ist.",-2.224351724,ɐsɛs,ɛtf aɪnʃɛtsən bəʊɐtaɪlən,4.07,1,6,2,25,22
118,de,subjectively,adverb,s___________,subjektiv,Jeder legt diese Aufgabe subjektiv aus und kommt zu einem anderen Ergebnis.,-1.040160185,sʌbdʒɛktɪvli,zʊbjɛktiːf,2.65,2,12,3,4,8
119,de,necessity,noun,n________,Notwendigkeit,Für viele Menschen ist eine Tasse Kaffee am frühen Morgen eine Notwendigkeit. ,-1.624880493,nəsɛsɪɾi,noːtvɛndɪçkaɪt,3.91,1,9,3,11,11
120,de,consist,verb,c______,in etw bestehen,"Für sie besteht Glück darin, eine gesunde und glückliche Familie zu haben.",-1.247711226,kənsɪst,ɪn ɛtf bəʃteːən,3.94,1,7,2,13,14
121,de,return,noun,r_____,Rückkehr,Nach seiner Rückkehr feierten wir ein großes Fest.,0.923223478,ɹᵻtɜːn,rʏkeːɾ,5.19,2,6,2,8,5
122,de,store,verb,s____,lagern,Meine Mutter lagert hunderte Gläser mit Marmelade im Keller.,0.012807918,stɔːɹ,lɑɡɜn,5.02,1,5,1,5,5
123,de,cowboy,noun,c_____,Cowboy,Der Cowboy reitet auf einem Pferd.,2.267141762,kaʊbɔɪ,(en)kaʊbɔɪ(de),3.85,1,6,2,1,8
124,de,stock,noun,s____,Lager,Wir sollten dieses Produkt auf Lager haben.,-1.764276789,stɑːk,lɑːɡɜ,4.93,1,5,1,5,4
125,de,hate,noun,h___,Hass,Er schaute sie voller Hass an.,2.871450697,heɪt,has,5.11,1,4,1,3,3
126,de,boil,verb,b___,kochen,"Gib die Spaghetti erst ins Wasser, wenn es richtig kocht.",0.918178965,bɔɪl,kɔxən,3.83,1,4,1,5,4
127,de,chill,noun,c____,"Kühle, Kälteschauer",Sie trug einen dicken Mantel gegen den Kälteschauer.,-2.50543436,tʃɪl,kyːlə kɛltɛʃaʊɜ,4.18,1,5,1,17,13
128,de,inactivity,noun,i_________,Untätigkeit,Ich muss etwas gegen die Untätigkeit dieser Kinder unternehmen.,-1.659459381,ɪnæktɪvᵻɾi,ʊntɛːtɪçkaɪt,3.05,2,10,3,7,9
129,de,converted,adjective,c________,umgewandelt,Die umgewandelte Datei funktioniert nicht auf meinem Computer.,-1.267158248,kənvɜːɾᵻd,ʊmɡəvandəlt,4.21,2,9,3,10,10
130,de,materialize,verb,m__________,sich verwirklichen,Der angekündigte Lehrermangel hat sich nie verwirklicht.,-3.225969896,mətɪɹiʲəlaɪz,zɪç fɛɾvɪɾklɪçən,2.99,1,11,5,12,15
131,de,youngster,noun,y________,Jugendlicher,Der Film ist für einen Jugendlichen geeignet.,-0.734387441,jʌŋstɚ,juːɡəntlɪçɜ,3.27,2,9,2,9,9
132,de,submit,verb,s_____,einreichen,Nächste Woche werden wie den Antrag einreichen.,-1.474098776,səbmɪt,aɪnraɪçən,4.28,1,6,2,9,8
133,de,crying,noun,c_____,"Weinen, Schreien",Das Weinen hatte kein Ende.,2.491881176,kɹaɪɪŋ,vaɪnən ʃraɪən,4.56,2,6,2,13,11
134,de,warmly,adverb,w_____,warm,"Zieht euch warm an, ihr seid die Kälte hier nicht gewohnt.",-1.24388308,wɔːɹmli,vaɾm,3.24,2,6,1,2,6
135,de,per,preposition,p__,pro,Die Firma zahlt ihm 15 Euro pro Stunde.,1.250259614,pɜː,proː,5.45,2,3,1,2,2
136,de,quantum,noun,q______,Quäntchen,Dieses Ergebnis nahm ihm das letzte Quäntchen Hoffnung.,-2.242341884,kwɔntəm,kvɛntçən,4.07,1,7,1,6,4
137,de,stack,noun,s____,Stapel,"Der Stapel an ungeöffneten Briefen fällt einem sofort auf, wenn man in das Büro kommt.",-1.470396402,stæk,ʃtɑpəl,4.05,1,5,1,4,5
138,de,archive,noun,a______,Archiv,Im Archiv werden viele wichtige Dokumente und Akten gelagert.,1.518879993,ɑːɹkaɪv,aɾçiːf,3.98,1,7,1,2,7
139,de,irritate,verb,i_______,"jdn ärgern, reizen",Ich bin total entspannt. Du kannst mich mit deinen blöden Kommentaren nicht reizen. ,-0.945752121,ɪɹᵻteɪt,jɔtdeːɛn ɛɾɡɜn raɪtsən,3.08,1,8,3,15,19
140,de,catastrophe,noun,c__________,"Desaster, schweres Unglück, Naturereignis mit verheerenden Folgen (nicht: disaster)",Die letzten Überschwemmungen waren ein Naturereignis mit verheerenden Folgen.,-1.257276239,kɐtæstɹəfi,dezaːstɜ ʃveːrəs ʊnɡlʏk nɑtuːreːraɪɡnɪs mɪt fɛɾheːrəndən fɔlɡən nɪçt diːzastɜ,3.56,1,11,2,74,70
141,de,click,verb,c____,klicken,"Als wir uns der Sehenswürdigkeit näherten, hörten wir die Kameras klicken. ",2.348575044,klɪk,klɪkən,4.82,1,5,1,3,2
142,de,not,not-no,n__,nicht,Sandra hat heute nicht angerufen.,4.060356116,nɑːt,nɪçt,6.69,1,3,1,3,2
